"miRNA"	"X07a10aa5.fb68.4d78.b02c.f1456e297f4f.mirbase21.isoforms.quantification.txt"	"X182d6150.e189.4b73.b782.f7d7ccb2fcc8.mirbase21.isoforms.quantification.txt"	"X1fb66ad0.dc12.45de.83fd.709208db8dce.mirbase21.isoforms.quantification.txt"	"X2ab22567.023f.4e2b.80a5.00c7d58f4716.mirbase21.isoforms.quantification.txt"	"X2dfc2f5f.3400.4f0d.be2e.25f646d08958.mirbase21.isoforms.quantification.txt"	"X32100d21.e578.43a9.9e7e.0a59069fd6bf.mirbase21.isoforms.quantification.txt"	"X3829e826.bcd8.44b6.929a.ee890c94d6cd.mirbase21.isoforms.quantification.txt"	"X38d93245.1ccd.40b9.8fcf.5d5cb342b704.mirbase21.isoforms.quantification.txt"	"X40a39e83.23c6.4240.a1a0.ddf221f23103.mirbase21.isoforms.quantification.txt"	"X4348a153.a786.4cb2.8fec.918acf9f9254.mirbase21.isoforms.quantification.txt"	"X44ad6046.e17a.4655.bb58.3c778930e938.mirbase21.isoforms.quantification.txt"	"X4b31b50d.f2ba.4f7e.a49e.0331ea38674a.mirbase21.isoforms.quantification.txt"	"X4d9fe929.fb0d.4a9f.bd42.922fafef34bc.mirbase21.isoforms.quantification.txt"	"X54a07c50.39fc.486b.8098.c7add372def7.mirbase21.isoforms.quantification.txt"	"X64cf1660.e7e0.4eed.811f.4dae145134ce.mirbase21.isoforms.quantification.txt"	"X66b305e4.c0b4.40ba.a384.3f9eca90358c.mirbase21.isoforms.quantification.txt"	"X6ed4a3e1.7ef1.4174.af0f.45228711ac54.mirbase21.isoforms.quantification.txt"	"X768a3bc8.2d00.443b.8ad7.0a1b42ebc5bd.mirbase21.isoforms.quantification.txt"	"X7888df2c.7336.4256.a863.4a38cf4471c3.mirbase21.isoforms.quantification.txt"	"X78b783b1.c2eb.4b94.9765.b4b8bf3776e0.mirbase21.isoforms.quantification.txt"	"X7aaa0428.ac76.4e4d.96ce.18d131d88812.mirbase21.isoforms.quantification.txt"	"X7b27e34c.764e.4463.a7cc.7b451b70bf8e.mirbase21.isoforms.quantification.txt"	"X812d4342.28b2.4af5.b47e.7897475693bc.mirbase21.isoforms.quantification.txt"	"X88ef0233.d4f6.43ee.aa5f.2bb5089072d5.mirbase21.isoforms.quantification.txt"	"X8ca45577.302c.4993.880b.474a9163cf29.mirbase21.isoforms.quantification.txt"	"X8da3699a.be12.462f.b5e6.06d1b57bff4e.mirbase21.isoforms.quantification.txt"	"X91c07e4a.3521.4f9c.a1ad.ba8c677a7c98.mirbase21.isoforms.quantification.txt"	"X96002921.1f7a.4f47.a399.05e7f04b6b37.mirbase21.isoforms.quantification.txt"	"a4d3c98b.b149.456c.93c8.47d70479ee23.mirbase21.isoforms.quantification.txt"	"a745f847.1d36.4fca.ba69.8c33e91f7168.mirbase21.isoforms.quantification.txt"	"b086a8ee.57ae.47a2.8173.71df4f47b02f.mirbase21.isoforms.quantification.txt"	"b9316b2e.455d.4325.9661.94b05c789aa0.mirbase21.isoforms.quantification.txt"	"c0d51bdd.0b43.4c59.8ef1.7ea059883bf2.mirbase21.isoforms.quantification.txt"	"c8ec24f0.e0a0.4cc2.9f60.c27c32094390.mirbase21.isoforms.quantification.txt"	"ca17208e.35a3.4156.bca7.9e134d872bb8.mirbase21.isoforms.quantification.txt"	"caad916f.d439.4849.a3a5.e29dcd54cd43.mirbase21.isoforms.quantification.txt"	"cd35dff1.a712.4da6.a4e9.f49c09f4d6ed.mirbase21.isoforms.quantification.txt"	"df69dca7.80f1.40a2.b0f2.bdbf123acee6.mirbase21.isoforms.quantification.txt"	"e3950880.413b.4d62.a32a.779538e2ebc3.mirbase21.isoforms.quantification.txt"	"e3bb32f2.5cdd.4fc3.af9c.72cfe24f234d.mirbase21.isoforms.quantification.txt"	"e41e3b77.c931.4d03.bd39.7297965bfc95.mirbase21.isoforms.quantification.txt"	"e4d4d649.3cbb.450f.ae97.d34b21f43435.mirbase21.isoforms.quantification.txt"	"ea00711d.4423.4509.acd0.f3ec943711c1.mirbase21.isoforms.quantification.txt"	"f2809fd4.3e86.4ee2.ae5a.6a56256b95e7.mirbase21.isoforms.quantification.txt"	"fcc2dd9d.37b4.49fd.9d3b.202406b78b69.mirbase21.isoforms.quantification.txt"
"hsa-let-7e-5p"	1456.200462	454.433809	964.897403	1484.103714	410.032791	1062.979736	1704.506376	1080.786787	945.942696	958.058765	1394.473817	1005.632202	1152.088164	558.456614	530.089576	846.932601	866.235278	603.063397	1230.413208	541.937896	1004.658673	1229.882353	887.691386	473.774364	923.31035	761.97389	1711.792255	1044.702665	602.669102	1212.865672	624.979544	991.341148	639.301213	767.310147	1243.221826	898.734755	312.489714	1747.972854	444.941691	694.43876	297.190204	539.190779	344.838027	317.325966	1445.672373
"hsa-let-7f-1-3p"	1.431331	1.01663	1.425255	1.95331	1.841465	0.763178	1.341075	1.14292	2.420451	1.19776	1.360795	3.814994	2.192067	1.952645	2.663767	1.76779	1.891344	0.414003	3.188517	2.172096	1.853994	1.403289	1.552361	1.412144	1.708648	6.423382	3.509734	1.053836	2.777278	1.327955	0.944078	0.759648	2.477346	0	3.1537	3.535114	1.806299	0.505633	2.149476	1.910048	2.324069	2.467692	3.538817	2.491273	3.020733
"hsa-let-7f-2-3p"	0.715665	0.609978	0.158362	0.822446	1.841464	0.635982	0.95791	0.207804	0.302556	0.44916	0	0.762999	1.565762	1.597619	1.664855	1.124957	0.270192	0.552004	0.885699	0.465449	0.205999	0.40094	0.517453	0.706072	0.854324	1.204384	0.638133	1.053836	0.925758	2.213259	0.786732	0.30386	0.728631	0.230354	0	1.35966	0.4014	1.516899	0.537369	1.091456	0.581018	1.233846	0	0.934227	1.762094
"hsa-let-7f-5p"	6136.832027	4602.082708	6328.289046	5698.727972	5144.131436	6787.704997	5510.477337	5671.377231	5994.853212	6191.074853	3648.629343	5373.79939	4143.477718	6886.803183	5475.705452	3899.26484	4312.803342	3003.724922	3731.804642	7924.270813	3305.259058	7878.263501	7910.052101	5419.103202	6295.511428	9223.57751	6418.343525	6359.19716	4326.766073	6302.917631	3428.890795	5531.911502	5907.7436	2420.10219	4339.159543	4791.167223	5791.195056	8565.420925	4508.527511	6370.281843	4431.416758	5409.675179	3378.390337	3958.322237	5163.439266
"hsa-let-7g-3p"	23.79588	49.408239	15.361078	19.019062	39.898401	3.307104	15.518154	11.325299	39.332336	16.020047	27.89628	35.352271	15.187898	37.987831	45.617005	34.391571	45.12205	19.596111	17.182563	34.908682	25.749915	25.459667	12.936336	41.658252	36.522339	118.832597	45.307455	23.184391	37.956118	21.247282	13.846474	8.128237	16.175618	7.601691	22.075901	53.570575	35.925279	13.904904	51.587442	25.649212	39.799667	48.12	21.2329	51.693926	36.248794
"hsa-let-7g-5p"	666.463536	787.68527	321.949191	373.801682	773.108233	376.119549	378.757908	431.088673	561.242187	428.498857	545.338262	522.908398	337.735006	680.76323	667.939505	334.594625	619.279868	372.326097	492.802987	627.425378	458.554481	577.754024	438.800522	586.745896	715.068947	1861.175421	650.576778	490.033698	609.380857	478.285166	268.118112	349.210365	338.230708	154.798085	699.291531	847.067706	609.926937	509.677939	792.082187	667.42523	646.381431	846.171706	278.386914	638.077432	591.308447
"hsa-let-7i-3p"	43.834515	52.458131	29.138541	47.393448	38.97767	25.566463	28.928904	33.664191	109.979264	43.568542	35.040451	83.166852	45.407116	29.289682	98.892339	40.98061	54.308575	99.912563	60.581819	27.926945	47.173843	22.65309	30.271027	57.191838	41.4347	228.431581	73.704383	44.612387	89.798623	92.735532	46.259815	14.813143	41.386266	11.287361	38.176371	35.623072	31.108482	22.247847	34.928997	62.758709	29.922376	53.055385	42.072598	37.99192	71.994132
"hsa-let-7i-5p"	378.944905	202.512785	225.665322	382.642977	231.410722	280.595105	218.020484	486.364444	544.299027	319.05348	304.817892	438.215551	318.632701	210.885713	507.78053	287.989225	256.412127	315.745781	365.262314	203.090954	320.946937	205.281098	301.675358	344.563174	261.636637	1305.552732	404.257371	427.857381	410.111233	508.164159	405.009403	213.005409	319.723471	91.2203	245.490665	212.650704	180.830594	278.603712	182.705525	402.201467	171.981038	247.262773	166.324384	157.884461	394.709085
"hsa-miR-1"	10.913898	19.315977	40.540577	3.803812	7.058948	18.570665	10.345435	8.831654	15.430378	8.833484	5.783377	6.612655	17.536542	6.212961	9.323185	2.892748	29.180727	10.074058	8.502712	6.516288	9.887967	13.030538	13.195062	7.766792	8.543237	14.854073	10.529198	6.323016	12.960625	3.983865	5.979159	21.118226	7.286315	21.192595	12.946769	11.965002	6.623096	6.320411	4.298953	7.094463	6.391189	11.351384	1.96601	5.605366	5.538009
"hsa-miR-100-3p"	0.178916	0.609978	0.158362	0.102806	0	0.254393	0	0.311706	0.302556	0.14972	1.020596	3.051995	0	0.355026	0.998913	0	1.080768	0.276002	0.17714	0.775749	0.617998	0	0	0.706072	0	0.802922	0.319067	0	0.23144	0	0	0.075965	0	0.230354	0.165984	0.815796	0.2007	0	1.612108	0.545728	0	0.246769	0.786404	0.622818	0
"hsa-miR-100-5p"	10209.505719	7068.834827	8296.724084	994.337151	8777.341145	9639.446736	2292.855154	6214.575975	8764.303542	6483.029004	3747.627117	15208.851803	3823.279258	11434.159544	20317.21466	4446.315804	5525.694846	1895.164675	6611.921012	11009.112253	5338.266328	5420.503493	4100.042381	1878.151728	6485.812032	12071.946712	3198.323498	3133.756719	5610.330914	1731.432144	1610.124795	3267.095791	2954.891884	3774.355071	8134.554777	7107.482695	13855.71766	890.166678	12664.71709	16004.016559	10419.378085	13096.043324	5573.636289	12078.31692	733.534616
"hsa-miR-101-3p"	9937.731727	53262.895752	9434.077303	9577.794286	68833.333947	7804.512465	7056.928441	6962.980819	18702.526053	8411.573298	13242.90857	8770.414985	11363.522491	64165.706465	27129.79803	14099.901086	9675.842655	4947.327866	11783.518131	50642.72314	8401.476188	8235.30025	7895.822132	10785.251001	16397.248568	77345.970264	6896.305278	9846.691467	14060.427528	11927.914175	6392.823244	7720.38255	5730.686164	9851.561999	5859.077067	12211.915403	62869.83971	22649.066257	45171.254185	23790.189451	44454.192627	43678.154675	11260.907913	47190.948956	9879.306624
"hsa-miR-101-5p"	4.293993	13.216196	12.035484	5.243093	20.25611	4.19748	1.915821	3.220958	14.825265	8.084884	4.082383	2.797662	7.985391	14.733597	13.651805	5.624789	13.779788	4.140025	8.856992	9.308982	7.415976	7.216914	5.950715	3.53036	7.688914	24.087688	3.509732	2.458951	9.489029	4.647843	2.517541	4.937715	2.185894	2.994606	3.817637	7.342161	10.637094	14.410536	9.135276	11.460286	8.13424	14.806153	2.752413	13.702004	7.048377
"hsa-miR-103a-2-5p"	0.715666	1.01663	1.741978	1.130863	0.306911	1.01757	1.149492	2.389742	0.756391	1.34748	0.680397	0.508666	0.469729	0.355026	0.998913	0.642834	2.701919	1.242007	0.708559	0.3103	2.059993	1.202819	1.034906	2.824288	1.281486	3.211691	0.638134	2.45895	0.23144	0.221326	1.416117	1.139473	0.145726	1.151771	0.663937	1.087727	0.6021	0.505632	0	0.818592	0	0.493538	0	0.934227	1.258639
"hsa-miR-103a-3p"	11223.603796	15582.911497	10266.426023	13604.489652	17632.023811	19420.081398	14229.572503	18377.843144	14267.199992	16320.087148	16358.446794	14462.639141	13811.592404	19177.641567	14787.234965	12368.269433	16627.340234	7448.315951	12753.358659	18046.70254	9286.449258	17672.617548	14074.475005	18897.31311	14297.961629	25966.528547	17436.670074	23785.076496	14162.955333	13284.42032	7838.363796	14485.355309	10722.977244	18611.475007	11457.558912	10183.575754	17124.918019	13540.848438	18057.21692	13396.801491	18684.345086	18224.895111	23146.613572	22155.206964	12027.551097
"hsa-miR-105-3p"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-miR-105-5p"	0	0	0	0.205612	0	0.127196	0	0.103902	0.151278	0.29944	0.340199	0	0	0	0	461.232746	0	0	0.8857	0	0	0	0	0	0	2.408767	0.957201	258.892356	0	0.442652	0	0	0.145726	0	0.331968	0	0	0.252816	0.537369	0	0	0	0.393202	0	0
"hsa-miR-106a-3p"	0	0	0.158362	0	0	0	0	0.103902	0	0	0	0	0	0	0.332971	0	0	0	0	0	0.205999	0	0	0	0	0.401461	0	0.702557	0	0	0	0	0.728631	0.460709	0	0	0	0	0	0	0	0	0	0	3.020735
"hsa-miR-106a-5p"	4.293993	4.269849	8.709891	3.392589	6.138216	2.543926	5.939047	9.766772	3.176842	5.689363	3.742184	1.78033	6.889356	4.260317	6.659416	2.410623	11.888445	4.002023	10.80553	4.344192	5.97398	10.424431	7.244349	11.297153	6.621009	20.875995	7.657599	29.858686	3.703036	3.762539	7.867315	7.748414	13.698271	8.292755	1.99181	4.078979	2.6091	6.573225	5.373692	4.092959	3.195596	6.169231	3.538817	3.73691	177.719778
"hsa-miR-106b-3p"	196.986941	162.050893	83.931665	329.183991	109.874055	79.624902	186.792596	246.662935	207.25116	167.536763	222.149647	235.766578	250.991754	161.004496	277.03174	299.881637	244.25349	93.150526	246.047214	144.134071	173.863423	102.640549	138.677523	451.180057	156.34124	298.285876	295.455663	643.893742	292.308399	241.909157	133.744364	95.715697	157.675842	87.534631	270.056328	221.89639	163.169004	222.731281	188.079218	172.722883	201.031889	237.392003	436.060857	204.28443	421.895681
"hsa-miR-106b-5p"	203.785763	102.273022	98.500933	361.773411	97.904536	131.139418	94.449999	467.142605	280.318537	189.845057	126.213658	140.646082	240.814295	148.401059	264.378847	219.206085	338.010086	120.750681	216.287724	120.706466	156.76548	160.375858	184.73088	351.623895	251.384752	345.658332	200.692886	506.543795	195.103706	172.855492	116.278924	126.785316	72.571689	145.353559	147.228003	143.036152	98.744342	288.969188	99.413299	180.635937	99.644419	143.372925	188.736891	98.093896	281.683334
"hsa-miR-107"	109.675743	78.48387	26.288031	73.814525	77.648425	24.803284	49.619775	87.485337	51.737149	40.72386	43.545414	54.935903	49.634676	104.022751	69.590906	49.33744	51.066272	34.086193	81.30718	116.362273	39.963866	52.122155	49.67553	67.78292	43.57051	90.328833	90.933979	94.493953	62.025853	121.065242	35.560266	66.925024	77.380658	50.677943	66.891641	46.500345	88.709348	67.249171	109.085945	60.03007	111.845777	96.240003	138.800255	116.778447	74.259683
"hsa-miR-10a-3p"	4.830741	3.456543	3.642319	7.299209	3.376019	4.706264	0.766328	3.844367	4.689623	5.389922	0.680397	3.814994	4.697288	2.840212	4.328622	2.089206	5.133647	2.898017	2.657098	1.551497	4.737985	2.004698	3.104721	1.412144	1.495067	4.416076	3.509733	3.864065	1.620079	0.885304	1.888155	1.443333	1.602989	0.230354	1.991811	2.719319	2.408399	1.264082	1.612107	2.182912	1.452543	1.727385	0.393202	1.557046	9.817381
"hsa-miR-10a-5p"	27624.153211	35522.49112	44999.723662	62212.484462	38160.671469	71585.713408	8497.434617	19993.62043	61137.125076	46744.404321	13090.159421	19028.677305	34333.260684	26034.800045	47307.497907	19042.323329	68855.167136	28131.044437	25142.340707	18021.10284	40720.297215	36495.530927	31938.002867	12041.353228	29298.177345	36359.563352	45266.615232	22722.458614	26227.909361	6197.3452	13730.983125	9395.17935	15367.41968	7443.89894	23049.233074	30603.210102	23428.499868	7049.280749	27013.011855	31204.448775	17436.901557	23914.900147	6290.050069	23579.592607	95476.553325
"hsa-miR-10b-3p"	0.357833	2.236587	5.70102	0.822447	0.920732	1.653552	0.574746	1.66243	1.966616	4.341882	0.680398	7.121321	1.878916	1.242593	2.996738	0.482125	5.133646	3.312019	1.594258	1.086048	3.089989	0.60141	2.587267	0	0.427162	25.292072	0	1.053836	3.008718	3.76254	2.360195	1.671227	1.457263	0.230354	2.987715	4.35091	0.2007	2.275348	0.537369	10.914558	0	0.740307	0.393202	0	5.789739
"hsa-miR-10b-5p"	743.576501	4155.985268	21831.259031	2208.987009	899.248562	7886.172508	1238.195426	1039.433861	8585.190134	12017.581327	1450.266377	10113.546915	2890.711019	3043.46429	7839.132468	1263.167029	29930.779534	13155.752094	4750.890041	895.368906	5486.791839	1521.766413	4957.462741	160.278361	2982.444078	48056.143581	511.463746	2313.521104	9089.101759	4351.930241	4244.259378	2660.972345	1340.244646	462.781773	5859.409038	11213.109728	781.123936	2632.071935	687.832565	17765.080512	1166.391656	1833.988958	816.287052	455.591647	17276.829518
"hsa-miR-1179"	0	0	0	0.102806	0	0.127196	0.383164	0.207804	0	0.7486	0	0.254333	0	0.177513	0.332971	0	0	0	0.17714	0	0.411998	0.20047	0.258727	0	0.213581	0	0	0	0.462879	0.442652	0.472039	0.15193	0.145726	0.230354	0	0	0	0	0	0.272864	0	0	0	0.311409	0.503456
"hsa-miR-1180-3p"	33.994114	5.896456	7.75972	30.327694	7.67277	4.706264	9.962271	33.871996	18.002107	10.480406	23.1335	15.005641	19.258881	4.970371	8.990212	24.588367	24.857655	10.074057	19.308241	9.464132	24.925917	12.429128	11.383976	12.709297	9.824723	10.437998	47.859989	43.909831	12.034866	20.361979	22.500523	6.836836	16.029891	5.989212	13.77669	11.693069	11.239193	24.523194	6.9858	11.460286	11.039323	13.572308	15.334873	11.522141	31.465966
"hsa-miR-1180-5p"	0	0	0	0	0	0	0	0.207804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393202	0	0
"hsa-miR-1181"	0	0	0	0.102806	0.306911	0	0	0.103902	0	0	0.340199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075965	0.145726	0	0	0	0.2007	0	0	0	0	0	0	0.311409	0.251728
"hsa-miR-1185-1-3p"	0.357832	0	0.316724	0.102806	0	0.127196	1.341075	0.415607	0	0	0	0	0	0	0	0	0.270192	0.276002	0	0	0	0	0	0.706072	0	0	0	0	0	0	0	0.227895	0.874357	0	0.331968	0	0	0	0	0	0	0	0	0.311409	0.503455
"hsa-miR-1185-2-3p"	0	0	0	0	0	0	0.383164	0	0.151278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351279	0	0	0	0.075965	0.437178	0	0	0	0	0	0	0	0	0	0	0	0
