"miRNA"	"X4b31b50d.f2ba.4f7e.a49e.0331ea38674a.mirbase21.isoforms.quantification.txt"	"X7888df2c.7336.4256.a863.4a38cf4471c3.mirbase21.isoforms.quantification.txt"	"X88ef0233.d4f6.43ee.aa5f.2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-miR-127-5p"	345.129717	140.471879	176.518018
"hsa-miR-1270"	3.051995	2.657098	0
"hsa-miR-1271-5p"	3.306327	0.17714	0.706072
"hsa-miR-1273h-3p"	0.254333	0	0
"hsa-miR-1277-3p"	0.762999	1.239979	1.412144
"hsa-miR-1278"	0	0	0.706072
"hsa-miR-128-1-5p"	1.525997	5.491335	4.236432
"hsa-miR-128-3p"	154.125724	153.403086	122.150469
"hsa-miR-1283"	0	0	0.706072
"hsa-miR-1284"	0.254333	0.53142	0
"hsa-miR-1286"	0	0.17714	0
"hsa-miR-1287-3p"	1.525997	4.074216	9.178936
"hsa-miR-1287-5p"	16.277305	34.365126	34.597532
"hsa-miR-1288-3p"	0.762999	0.17714	0
"hsa-miR-129-5p"	1.017332	0.17714	0
"hsa-miR-1291"	0.254333	0.17714	2.118216
"hsa-miR-1292-3p"	0	0.17714	0
"hsa-miR-1292-5p"	0	0.53142	1.412144
"hsa-miR-1293"	0.762999	0.17714	0
"hsa-miR-1294"	0.508666	0	0
"hsa-miR-1295b-5p"	0.508666	0	2.824288
"hsa-miR-1296-5p"	4.069326	3.365657	0
"hsa-miR-1301-3p"	8.138653	10.274111	12.709296
"hsa-miR-1304-3p"	0.508666	0.35428	0
"hsa-miR-1304-5p"	0.254333	0	1.412144
"hsa-miR-1306-3p"	1.271665	1.948539	1.412144
"hsa-miR-1306-5p"	7.629987	7.971293	7.06072
"hsa-miR-1307-3p"	787.923258	916.52144	1597.13504
"hsa-miR-1307-5p"	216.182948	260.39554	358.684615
"hsa-miR-130a-3p"	60.02256	99.198301	82.610434
"hsa-miR-130a-5p"	0.762999	1.06284	2.118216
"hsa-miR-130b-3p"	15.768639	12.399788	14.827513
"hsa-miR-130b-5p"	21.109628	8.325572	17.651802
"hsa-miR-132-3p"	125.894776	119.037961	175.105876
"hsa-miR-132-5p"	1.525998	1.239979	1.412144
"hsa-miR-133a-3p"	4.069327	6.377035	9.178936
"hsa-miR-133a-5p"	0	0	0.706072
"hsa-miR-133b"	0	0.8857	0.706072
"hsa-miR-134-3p"	3.560661	0	1.412144
"hsa-miR-134-5p"	900.592723	96.895483	165.926939
"hsa-miR-1343-3p"	0.762999	0.17714	0.706072
"hsa-miR-135a-3p"	0	0	0.706072
"hsa-miR-135a-5p"	2.288997	0.35428	0
"hsa-miR-135b-3p"	0.508666	0.531419	0
"hsa-miR-135b-5p"	32.300275	74.044446	1.412144
"hsa-miR-136-3p"	24.161624	6.731315	19.063946
"hsa-miR-136-5p"	65.36355	22.673898	35.303603
"hsa-miR-137"	8.647319	0.17714	8.472865
"hsa-miR-138-1-3p"	2.034663	0	0
"hsa-miR-138-5p"	11.190647	0.35428	9.178936
"hsa-miR-139-3p"	11.699314	6.731314	12.709297
"hsa-miR-139-5p"	57.224897	45.170654	136.271911
"hsa-miR-140-3p"	1145.00662	898.0989	869.8808
"hsa-miR-140-5p"	47.814582	57.216162	52.955405
"hsa-miR-141-3p"	20.092297	14.879744	16.239657
"hsa-miR-141-5p"	12.462311	8.502713	5.648576
"hsa-miR-142-3p"	3679.179424	1319.16026	1261.750803
"hsa-miR-142-5p"	181.085011	52.787667	37.421819
"hsa-miR-143-3p"	44724.182353	58966.126972	19599.14876
"hsa-miR-143-5p"	57.987898	58.101862	46.600757
"hsa-miR-144-3p"	0.508666	7.794153	4.942504
"hsa-miR-144-5p"	13.22531	60.936099	56.485766
"hsa-miR-145-3p"	36.623936	49.599152	17.651801
"hsa-miR-145-5p"	1562.875539	1469.729107	1055.577757
"hsa-miR-1468-5p"	6.612654	13.462627	5.648576
"hsa-miR-146a-3p"	2.288997	0	0
"hsa-miR-146a-5p"	185.917335	68.198833	50.837189
"hsa-miR-146b-3p"	123.097114	54.027648	138.390127
"hsa-miR-146b-5p"	768.59396	348.965451	1030.159162
"hsa-miR-147b"	1.525998	0.35428	0
"hsa-miR-148a-3p"	13303.135544	22111.478342	16876.534824
"hsa-miR-148a-5p"	16.022973	24.268156	14.121441
"hsa-miR-148b-3p"	137.84842	177.316962	103.792596
"hsa-miR-148b-5p"	1.525998	0.708559	1.412144
"hsa-miR-149-3p"	0.254333	0.35428	0
"hsa-miR-149-5p"	9.918983	28.342371	4.236432
"hsa-miR-150-3p"	1.271665	2.834237	0
"hsa-miR-150-5p"	726.629036	725.564712	190.639461
"hsa-miR-151a-3p"	1663.845692	1633.406305	1204.558965
"hsa-miR-151a-5p"	105.548145	96.718342	112.971533
"hsa-miR-151b"	0.762999	1.948538	1.412144
"hsa-miR-152-3p"	193.547321	223.196177	105.20474
"hsa-miR-152-5p"	0.762999	0.17714	2.118216
"hsa-miR-153-3p"	1.780331	1.948538	0.706072
"hsa-miR-153-5p"	12.462311	23.028177	2.824288
"hsa-miR-1537-3p"	0.254333	0.17714	0
"hsa-miR-1537-5p"	0.254333	0	0
"hsa-miR-1538"	0.762999	0.17714	0
"hsa-miR-154-3p"	8.647318	1.062839	1.412144
"hsa-miR-154-5p"	8.901651	2.302818	8.472865
"hsa-miR-155-3p"	1.271665	0.17714	0.706072
"hsa-miR-155-5p"	1120.844996	113.723765	83.316505
"hsa-miR-15a-3p"	0	0.17714	0.706072
"hsa-miR-15a-5p"	171.929027	99.021161	196.994109
"hsa-miR-15b-3p"	25.433288	38.970762	60.722199
"hsa-miR-15b-5p"	344.366717	226.207554	847.286494
"hsa-miR-16-1-3p"	5.849656	4.428495	5.648577
"hsa-miR-16-2-3p"	10.681981	10.27411	20.47609
"hsa-miR-16-5p"	384.042646	442.318139	744.906043
"hsa-miR-17-3p"	294.008809	206.190753	373.512129
"hsa-miR-17-5p"	296.552137	213.276348	631.228438
"hsa-miR-181a-2-3p"	1091.851048	756.741322	920.71799
"hsa-miR-181a-3p"	438.21555	106.815314	80.492217
"hsa-miR-181a-5p"	3367.367314	1659.800142	2978.212028
"hsa-miR-181b-3p"	11.953645	8.148433	4.236432
"hsa-miR-181b-5p"	747.48433	458.792143	778.091427
"hsa-miR-181c-3p"	109.61747	23.028177	37.421819
"hsa-miR-181c-5p"	118.519121	32.770867	108.7351
"hsa-miR-181d-5p"	53.155572	9.034131	39.540036
"hsa-miR-182-3p"	0	0.17714	0
"hsa-miR-182-5p"	4466.848346	9362.193899	20935.743204
"hsa-miR-183-3p"	0.254333	0.53142	0.706072
"hsa-miR-183-5p"	1532.609927	3826.220168	2880.774078
"hsa-miR-184"	0	74.575865	0
"hsa-miR-185-3p"	7.375654	7.971293	3.53036
"hsa-miR-185-5p"	100.71582	87.152793	122.856542
"hsa-miR-186-3p"	0	0.17714	0
"hsa-miR-186-5p"	177.52435	160.134401	365.039264
"hsa-miR-187-3p"	8.901652	49.599151	2.118216
"hsa-miR-188-3p"	0.508666	0.531419	0
"hsa-miR-188-5p"	1.017332	0.885699	2.824288
"hsa-miR-18a-3p"	1.780331	0.53142	0.706072
"hsa-miR-18a-5p"	7.375655	6.731313	8.472865
"hsa-miR-18b-5p"	0	0.53142	0
"hsa-miR-190a-3p"	0.254333	0.35428	0.706072
"hsa-miR-190a-5p"	0.762999	1.239979	2.118216
"hsa-miR-190b"	0.254333	0	0
"hsa-miR-191-3p"	1.017332	0.17714	0
"hsa-miR-191-5p"	646.005512	222.841898	816.925395
"hsa-miR-192-3p"	27.213619	8.856991	104.498667
"hsa-miR-192-5p"	7368.023491	1926.04129	24082.706456
"hsa-miR-193a-3p"	15.768638	16.119724	13.41537
"hsa-miR-193a-5p"	685.681442	325.937273	561.327302
"hsa-miR-193b-3p"	51.12091	118.152261	144.038704
"hsa-miR-193b-5p"	3.051995	3.897076	12.003225
"hsa-miR-194-3p"	15.259974	5.314195	24.00645
"hsa-miR-194-5p"	3141.77405	877.196402	10548.010782
"hsa-miR-195-3p"	0	3.365656	4.236432
"hsa-miR-195-5p"	14.751307	31.530888	16.945729
"hsa-miR-196a-5p"	1.271665	0.8857	0
"hsa-miR-196b-5p"	8.392985	5.491335	16.945729
"hsa-miR-197-3p"	332.158741	332.668587	296.550273
"hsa-miR-1976"	9.66465	3.897076	3.53036
"hsa-miR-199a-3p"	2147.586827	3143.523292	1390.25592
"hsa-miR-199a-5p"	739.345678	1336.34282	1403.671292
"hsa-miR-199b-3p"	2144.534832	3139.626216	1386.019489
"hsa-miR-199b-5p"	65.36355	130.197771	23.300378
"hsa-miR-19a-3p"	16.277305	10.98267	38.833964
"hsa-miR-19a-5p"	0	0	0.706072
"hsa-miR-19b-1-5p"	12.207978	5.491335	12.003225
"hsa-miR-19b-3p"	90.796838	54.381925	169.457299
"hsa-miR-200a-3p"	287.650487	246.578633	1334.476227
"hsa-miR-200a-5p"	447.625868	316.548862	896.005467
"hsa-miR-200b-3p"	493.660118	403.878795	1562.537509
"hsa-miR-200b-5p"	15.259973	8.856991	46.600758
"hsa-miR-200c-3p"	165.316372	105.752474	62.840414
"hsa-miR-200c-5p"	0.762999	0.531419	0
"hsa-miR-202-5p"	0.254333	0.531419	0
"hsa-miR-203a"	1447.917079	1007.217031	1044.280604
"hsa-miR-203b-3p"	8.138652	0.17714	0
"hsa-miR-204-3p"	0	0	0.706072
"hsa-miR-204-5p"	0.762999	11.514089	100.262235
"hsa-miR-205-5p"	0.508666	0	1.412144
"hsa-miR-206"	0	0.35428	0
"hsa-miR-20a-3p"	4.069327	1.594259	3.53036
"hsa-miR-20a-5p"	329.615411	216.464862	638.995231
"hsa-miR-20b-3p"	0.254333	1.771399	0
"hsa-miR-20b-5p"	5.595324	24.268156	13.415369
"hsa-miR-21-3p"	2180.141436	3522.24823	1570.3043
"hsa-miR-21-5p"	491190.799258	466322.354091	525352.224054
"hsa-miR-210-3p"	1593.649818	175.899845	875.529377
"hsa-miR-210-5p"	1.525998	0.17714	0
"hsa-miR-211-5p"	0	0.17714	1.412144
"hsa-miR-2110"	0.508666	0.53142	1.412144
"hsa-miR-2114-5p"	0.254333	0	0
"hsa-miR-2115-3p"	1.017332	0.17714	0.706072
"hsa-miR-2115-5p"	0	0.17714	0
"hsa-miR-2116-3p"	0.508666	0.70856	0
"hsa-miR-2116-5p"	0.508666	0	0.706072
"hsa-miR-212-3p"	4.832325	4.251356	2.118216
"hsa-miR-212-5p"	0.254333	0	0
"hsa-miR-214-3p"	3.560661	4.251356	3.53036
"hsa-miR-214-5p"	18.057635	29.228071	34.597531
"hsa-miR-215-5p"	47.051584	10.27411	118.620108
"hsa-miR-216a-3p"	0	0.17714	0
"hsa-miR-216a-5p"	0	2.302818	0
"hsa-miR-216b-5p"	0	1.771398	0
"hsa-miR-217"	15.514307	115.318025	19.063945
"hsa-miR-218-1-3p"	1.017332	1.239978	0
"hsa-miR-218-5p"	159.466717	90.51845	35.303604
"hsa-miR-219a-1-3p"	2.288996	1.062839	2.118216
"hsa-miR-219a-5p"	0	0.53142	0.706072
"hsa-miR-219b-3p"	0	0.35428	0
"hsa-miR-22-3p"	144622.067701	93242.151201	70206.158924
"hsa-miR-22-5p"	57.479231	27.633813	24.712522
"hsa-miR-221-3p"	408.458605	202.293677	124.268686
"hsa-miR-221-5p"	1.780331	1.06284	1.412144
"hsa-miR-222-3p"	86.981846	50.30771	59.310055
"hsa-miR-222-5p"	12.207979	5.491335	1.412144
"hsa-miR-223-3p"	966.464941	387.581932	329.73566
"hsa-miR-223-5p"	3.814995	2.834237	2.118216
"hsa-miR-224-3p"	0.762999	2.125678	3.53036
"hsa-miR-224-5p"	59.768227	53.850506	111.559389
"hsa-miR-2276-3p"	0	0	0.706072
"hsa-miR-2277-3p"	0	0.17714	0
"hsa-miR-2277-5p"	1.017332	0.708559	0
"hsa-miR-2355-3p"	4.577993	1.594259	9.178936
"hsa-miR-2355-5p"	38.658598	12.576927	38.833964
"hsa-miR-23a-3p"	5779.968996	3821.083112	3689.932682
"hsa-miR-23a-5p"	1.780331	7.439874	0.706072
"hsa-miR-23b-3p"	895.760399	956.555042	1161.488567
"hsa-miR-23b-5p"	0.762999	0.35428	0.706072
"hsa-miR-23c"	0	0.35428	2.824288
"hsa-miR-24-1-5p"	7.629987	8.502712	19.770017
"hsa-miR-24-2-5p"	24.415957	20.902499	21.182163
"hsa-miR-24-3p"	1716.746934	1614.806622	1346.479448
"hsa-miR-25-3p"	4349.346557	7333.942933	14495.659776
"hsa-miR-25-5p"	0	0.17714	1.412144
"hsa-miR-2682-5p"	0.254333	0	0
"hsa-miR-26a-1-3p"	0.762999	1.062839	1.412144
"hsa-miR-26a-2-3p"	3.560661	2.479958	3.53036
"hsa-miR-26a-5p"	1469.789705	1882.996315	2041.960449
"hsa-miR-26b-3p"	17.294637	22.142478	16.239657
"hsa-miR-26b-5p"	375.395329	417.872842	381.278921
"hsa-miR-27a-3p"	2281.365919	1385.764831	1263.162947
"hsa-miR-27a-5p"	18.057634	20.548219	3.53036
"hsa-miR-27b-3p"	1071.250084	1064.610332	1444.623471
"hsa-miR-27b-5p"	7.121321	11.514088	17.651801
"hsa-miR-28-3p"	3757.768281	3469.460563	3315.008408
"hsa-miR-28-5p"	121.82545	114.963744	93.201514
"hsa-miR-296-3p"	1.780331	0.35428	2.118216
"hsa-miR-296-5p"	2.034664	0.53142	7.060721
"hsa-miR-299-3p"	5.086658	0.531419	2.118216
"hsa-miR-299-5p"	13.733976	2.479958	2.118216
"hsa-miR-29a-3p"	7972.31841	8393.239071	9358.27933
"hsa-miR-29a-5p"	13.479644	10.62839	6.354648
"hsa-miR-29b-1-5p"	5.340992	2.834237	4.236432
"hsa-miR-29b-2-5p"	17.54897	18.599681	14.121441
"hsa-miR-29b-3p"	1003.851873	956.377904	2434.536526
"hsa-miR-29c-3p"	1050.903455	1264.246913	732.196745
"hsa-miR-29c-5p"	13.733977	20.725359	9.178937
"hsa-miR-301a-3p"	6.10399	6.554174	10.591082
"hsa-miR-301a-5p"	0.762999	3.188517	3.53036
"hsa-miR-301b"	0.508666	0.531419	0.706072
"hsa-miR-3064-3p"	0.762999	0.17714	0.706072
"hsa-miR-3065-3p"	7.375654	33.656566	9.885009
"hsa-miR-3065-5p"	0.254333	1.771398	0
"hsa-miR-3074-5p"	2.288996	2.657097	6.354649
"hsa-miR-30a-3p"	5304.112181	10621.480894	7160.276948
"hsa-miR-30a-5p"	20203.949538	65133.427033	49720.889707
"hsa-miR-30b-3p"	1.271665	11.514089	1.412144
"hsa-miR-30b-5p"	305.962454	1236.967382	847.992566
"hsa-miR-30c-1-3p"	0.254333	0.531419	0.706072
"hsa-miR-30c-2-3p"	60.785559	99.021161	19.063946
"hsa-miR-30c-5p"	403.880611	828.305811	1170.667505
"hsa-miR-30d-3p"	4.832326	17.891123	12.709297
"hsa-miR-30d-5p"	5843.297883	30999.468934	18047.20233
"hsa-miR-30e-3p"	3871.200746	3253.17284	3676.517314
"hsa-miR-30e-5p"	3601.099227	4997.822952	10554.36543
"hsa-miR-31-3p"	45.016919	0.35428	0.706072
"hsa-miR-31-5p"	53.918572	0.708559	0
"hsa-miR-3116"	0.254333	0.17714	0
"hsa-miR-3117-3p"	0.254333	0.8857	0.706072
"hsa-miR-3117-5p"	0	0.17714	0
"hsa-miR-3127-3p"	0	0.17714	0
"hsa-miR-3127-5p"	2.034663	8.325573	3.53036
"hsa-miR-3129-3p"	0	0.35428	0
"hsa-miR-3129-5p"	0.254333	0	0
"hsa-miR-3130-3p"	0.762999	0	0
"hsa-miR-3130-5p"	3.306328	5.668475	7.766792
"hsa-miR-3131"	0.254333	0.17714	0
"hsa-miR-3136-5p"	0.254333	0.17714	0.706072
"hsa-miR-3137"	0.254333	0	0
"hsa-miR-3140-3p"	0.508666	0	0.706072
"hsa-miR-3149"	0.508666	0	0
"hsa-miR-3150a-5p"	0	0.17714	0
"hsa-miR-3150b-3p"	0.762999	0.17714	0
"hsa-miR-3152-5p"	1.78033	0.17714	0
"hsa-miR-3157-3p"	0	0.35428	0.706072
"hsa-miR-3157-5p"	0.508666	0.17714	0
"hsa-miR-3158-3p"	0	0.17714	0
"hsa-miR-3158-5p"	0	0.17714	0
"hsa-miR-3161"	3.051995	0	0
"hsa-miR-3162-5p"	0	0.17714	0
"hsa-miR-3170"	1.017332	1.948539	1.412144
"hsa-miR-3173-5p"	0.254333	0.35428	0
"hsa-miR-3174"	0.254333	0.17714	0.706072
"hsa-miR-3176"	0.508666	0.17714	0
"hsa-miR-3177-3p"	0	0	0.706072
"hsa-miR-3183"	0	0.17714	0
"hsa-miR-3187-3p"	0	0	0.706072
"hsa-miR-3187-5p"	0	0.35428	0
"hsa-miR-3189-3p"	0.762999	2.834237	0.706072
"hsa-miR-3189-5p"	0	0.53142	0
"hsa-miR-3190-3p"	0	0.17714	0
"hsa-miR-3190-5p"	0	0	0.706072
"hsa-miR-3191-3p"	0.508666	0.17714	0
"hsa-miR-3191-5p"	0.254333	0.17714	0
"hsa-miR-3193"	0.762999	0.17714	0.706072
"hsa-miR-3194-3p"	0	0	0.706072
"hsa-miR-3194-5p"	0	0.17714	0
"hsa-miR-3198"	0	0.17714	0
"hsa-miR-3199"	0.254333	0.53142	0.706072
"hsa-miR-32-3p"	0.762999	0.885699	0
"hsa-miR-32-5p"	26.704953	16.296864	59.310054
"hsa-miR-3200-3p"	2.288996	5.314194	2.824288
"hsa-miR-320a"	184.645672	337.451361	257.716309
"hsa-miR-320b"	2.034664	3.719937	0.706072
"hsa-miR-320c"	0.254333	1.771399	0
"hsa-miR-320d"	0	0.53142	0
"hsa-miR-320e"	0	0.17714	0
"hsa-miR-323a-3p"	20.600963	1.594258	5.648577
"hsa-miR-323b-3p"	14.242642	2.125678	10.591081
"hsa-miR-324-3p"	11.44498	11.868368	7.060721
"hsa-miR-324-5p"	21.618295	19.662521	28.948955
"hsa-miR-326"	4.577993	10.628389	2.824288
"hsa-miR-328-3p"	19.837966	17.713983	25.418594
"hsa-miR-329-3p"	3.306329	0.35428	0.706072
"hsa-miR-330-3p"	1.525998	3.011378	1.412144
"hsa-miR-330-5p"	19.583632	26.216694	21.182162
"hsa-miR-331-3p"	21.363962	13.462627	38.127892
"hsa-miR-331-5p"	3.306329	3.897078	5.648576
"hsa-miR-335-3p"	29.248281	120.9865	153.923714
"hsa-miR-335-5p"	3.306328	6.022754	12.709297
"hsa-miR-337-3p"	63.328889	22.319618	39.540035
"hsa-miR-338-3p"	652.618168	333.377144	1291.405832
"hsa-miR-338-5p"	4.832324	4.074217	12.709297
"hsa-miR-339-3p"	3.051996	7.262733	2.824288
"hsa-miR-339-5p"	15.514306	17.891121	45.894685
"hsa-miR-33a-3p"	1.525998	0.70856	2.118216
"hsa-miR-33a-5p"	13.733975	24.445295	35.303604
"hsa-miR-33b-3p"	0.508666	0.35428	0
"hsa-miR-33b-5p"	1.271665	3.188517	4.236432
"hsa-miR-340-3p"	7.629986	6.554174	14.121441
"hsa-miR-340-5p"	9.918982	8.502711	19.063946
"hsa-miR-342-3p"	101.987485	61.821798	93.201515
"hsa-miR-342-5p"	8.901651	4.251357	4.942504
"hsa-miR-345-3p"	0.508666	0.17714	0
"hsa-miR-345-5p"	9.410316	4.428497	2.824288
"hsa-miR-346"	0.254333	1.948538	0.706072
"hsa-miR-34a-3p"	1.017332	0.53142	0.706072
"hsa-miR-34a-5p"	324.020088	387.227651	653.822744
"hsa-miR-34b-3p"	1.017332	0.531419	2.824288
"hsa-miR-34b-5p"	1.271665	0.35428	2.118216
"hsa-miR-34c-3p"	3.814994	2.302818	4.236432
"hsa-miR-34c-5p"	3.814994	1.417119	6.354648
"hsa-miR-3591-5p"	0	0	1.412144
"hsa-miR-3605-3p"	1.525998	1.771399	3.53036
"hsa-miR-3605-5p"	0.254333	0	0.706072
"hsa-miR-3606-5p"	0	0.17714	0
"hsa-miR-3607-3p"	12.20798	21.43392	19.770017
"hsa-miR-3607-5p"	0	0.35428	0
"hsa-miR-3609"	0.254333	0.17714	0
"hsa-miR-361-3p"	227.373596	179.265501	374.2182
"hsa-miR-361-5p"	196.853647	184.048277	192.757677
"hsa-miR-3610"	1.271665	0	0
"hsa-miR-3611"	0.508666	0	0
"hsa-miR-3613-3p"	0.508666	0.53142	0
"hsa-miR-3613-5p"	8.138652	4.782776	2.824288
"hsa-miR-3614-3p"	1.271665	1.06284	0
"hsa-miR-3614-5p"	0.508666	1.417119	0
"hsa-miR-3615"	5.595323	7.085593	21.182162
"hsa-miR-362-3p"	0.762999	2.479957	0.706072
"hsa-miR-362-5p"	2.034664	12.576927	15.533586
"hsa-miR-3620-3p"	0	0.17714	0
"hsa-miR-3622b-3p"	0.254333	0	0
"hsa-miR-363-3p"	2.797662	12.222647	9.885009
"hsa-miR-3651"	0	0.17714	0
"hsa-miR-3652"	0.254333	0	0
"hsa-miR-3653"	2.034664	1.771399	4.942504
"hsa-miR-3654"	0	0	1.412144
"hsa-miR-3655"	0.254333	0	0
"hsa-miR-365a-3p"	35.35227	56.153324	40.952182
"hsa-miR-365a-5p"	0	0.70856	0
"hsa-miR-365b-3p"	35.35227	56.153324	40.952182
"hsa-miR-365b-5p"	1.017332	0.17714	0
"hsa-miR-3661"	0.508666	0	0
"hsa-miR-3662"	0	0.17714	0.706072
"hsa-miR-3664-3p"	0	0.35428	0
"hsa-miR-3664-5p"	0	0.17714	0.706072
"hsa-miR-3677-3p"	2.797661	2.657097	1.412144
"hsa-miR-3677-5p"	0.508666	1.062839	0
"hsa-miR-3678-3p"	0	0	0.706072
"hsa-miR-3678-5p"	0.762999	0	0.706072
"hsa-miR-3679-3p"	0	0	0.706072
"hsa-miR-3680-5p"	0	0.17714	0
"hsa-miR-3681-5p"	0	0.17714	0
"hsa-miR-3682-3p"	0.762999	0.8857	0
"hsa-miR-3684"	0.762999	0	0.706072
"hsa-miR-3688-3p"	0.254333	0.17714	0
"hsa-miR-369-3p"	34.334939	6.908453	12.709297
"hsa-miR-369-5p"	6.612655	2.125678	2.824288
"hsa-miR-3690"	0.508666	0.35428	0.706072
"hsa-miR-3691-5p"	0.508666	0.17714	0
"hsa-miR-370-3p"	35.606603	2.125679	2.824288
"hsa-miR-370-5p"	3.814994	1.771398	2.824288
"hsa-miR-372-3p"	0.254333	0	0.706072
"hsa-miR-374a-3p"	957.563288	559.584701	747.730331
"hsa-miR-374a-5p"	24.924622	14.525465	27.53681
"hsa-miR-374b-3p"	1.017332	1.239979	2.118216
"hsa-miR-374b-5p"	62.565888	68.730251	60.016128
"hsa-miR-375"	1895.797275	25268.81854	2042.666522
"hsa-miR-376a-2-5p"	1.525998	0	0
"hsa-miR-376a-3p"	8.138653	0.17714	0.706072
"hsa-miR-376a-5p"	1.271665	0.35428	0
"hsa-miR-376b-3p"	6.612655	1.239979	0.706072
"hsa-miR-376b-5p"	1.780331	0	0.706072
"hsa-miR-376c-3p"	28.485283	3.011377	9.178937
"hsa-miR-376c-5p"	2.034664	0	0.706072
"hsa-miR-377-3p"	3.306328	1.239978	2.824288
"hsa-miR-377-5p"	4.069326	0.17714	0.706072
"hsa-miR-378a-3p"	247.974556	261.458377	242.888794
"hsa-miR-378a-5p"	40.947594	86.798513	32.479315
"hsa-miR-378c"	4.069326	7.085594	5.648576
"hsa-miR-378d"	0	0.53142	1.412144
"hsa-miR-379-3p"	4.069327	0.53142	0.706072
"hsa-miR-379-5p"	2542.565786	358.708141	562.033374
